task_id,difficulty,episode_type,model,retriever,strategy,prompt,backend,parse_success,claim_accuracy,escape_rate,contaminated_citation_rate,abstention_quality,overconfident_wrong_rate,over_abstention_rate,generated_lore_overclaim_rate,false_consensus_susceptibility,primary_recovery_rate,confidence,cost_usd,supporting_evidence,rejected_evidence,gold_claim_verdict,predicted_claim_verdict,has_required_supporting_evidence,clean_supporting_evidence,primary_in_context,primary_cited,primary_rejected,primary_ignored,best_primary_context_rank,primary_support,final_doc_ids,prompt_version
eham_000,L0,L0_clean_web,openai/gpt-4o-mini,primary_preserve_top8,primary_preserve,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0003072,"eham_000_primary_a,eham_000_primary_b","eham_000_pollutant_root,eham_000_repost_00,eham_000_repost_01,eham_000_repost_02,eham_000_repost_03,eham_000_context_07",supported,supported,1.0,1.0,1.0,1.0,0.0,0.0,1,"eham_000_primary_a,eham_000_primary_b","eham_000_primary_a,eham_000_primary_b,eham_000_pollutant_root,eham_000_repost_00,eham_000_repost_01,eham_000_repost_02,eham_000_repost_03,eham_000_context_07",claim_first_citation_v1_1
eham_000,L0,L0_clean_web,openai/gpt-4o-mini,hygienic_combo_top8,hygienic_combo,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0002907,"eham_000_primary_a,eham_000_primary_b","eham_000_pollutant_root,eham_000_repost_03,eham_000_repost_02,eham_000_context_13,eham_000_context_12,eham_000_context_11",supported,supported,1.0,1.0,1.0,1.0,0.0,0.0,1,"eham_000_primary_a,eham_000_primary_b","eham_000_primary_a,eham_000_primary_b,eham_000_pollutant_root,eham_000_repost_03,eham_000_repost_02,eham_000_context_13,eham_000_context_12,eham_000_context_11",claim_first_citation_v1_1
eham_001,L0,L0_clean_web,openai/gpt-4o-mini,primary_preserve_top8,primary_preserve,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.00030735,"eham_001_primary_a,eham_001_primary_b","eham_001_pollutant_root,eham_001_repost_00,eham_001_repost_01,eham_001_repost_02,eham_001_repost_03,eham_001_context_07",supported,supported,1.0,1.0,1.0,1.0,0.0,0.0,1,"eham_001_primary_a,eham_001_primary_b","eham_001_primary_a,eham_001_primary_b,eham_001_pollutant_root,eham_001_repost_00,eham_001_repost_01,eham_001_repost_02,eham_001_repost_03,eham_001_context_07",claim_first_citation_v1_1
eham_001,L0,L0_clean_web,openai/gpt-4o-mini,hygienic_combo_top8,hygienic_combo,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0002889,"eham_001_primary_a,eham_001_primary_b","eham_001_pollutant_root,eham_001_repost_01,eham_001_repost_02,eham_001_context_11,eham_001_context_12,eham_001_context_13",supported,supported,1.0,1.0,1.0,1.0,0.0,0.0,1,"eham_001_primary_a,eham_001_primary_b","eham_001_primary_a,eham_001_primary_b,eham_001_pollutant_root,eham_001_repost_02,eham_001_repost_01,eham_001_context_13,eham_001_context_12,eham_001_context_11",claim_first_citation_v1_1
eham_002,L0,L0_clean_web,openai/gpt-4o-mini,primary_preserve_top8,primary_preserve,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.00030285,"eham_002_primary_a,eham_002_primary_b","eham_002_pollutant_root,eham_002_repost_00,eham_002_repost_01,eham_002_repost_02,eham_002_repost_03",supported,supported,1.0,1.0,1.0,1.0,0.0,0.0,1,"eham_002_primary_a,eham_002_primary_b","eham_002_primary_a,eham_002_primary_b,eham_002_pollutant_root,eham_002_repost_00,eham_002_repost_01,eham_002_repost_03,eham_002_repost_02,eham_002_context_07",claim_first_citation_v1_1
eham_002,L0,L0_clean_web,openai/gpt-4o-mini,hygienic_combo_top8,hygienic_combo,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0002937,"eham_002_primary_a,eham_002_primary_b","eham_002_pollutant_root,eham_002_repost_03,eham_002_repost_01,eham_002_context_13,eham_002_context_12,eham_002_context_11",supported,supported,1.0,1.0,1.0,1.0,0.0,0.0,1,"eham_002_primary_a,eham_002_primary_b","eham_002_primary_a,eham_002_primary_b,eham_002_pollutant_root,eham_002_repost_03,eham_002_repost_01,eham_002_context_13,eham_002_context_12,eham_002_context_11",claim_first_citation_v1_1
eham_003,L0,L0_clean_web,openai/gpt-4o-mini,primary_preserve_top8,primary_preserve,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.00029835,"eham_003_primary_a,eham_003_primary_b","eham_003_pollutant_root,eham_003_repost_01,eham_003_repost_02,eham_003_repost_03,eham_003_repost_00",supported,supported,1.0,1.0,1.0,1.0,0.0,0.0,1,"eham_003_primary_a,eham_003_primary_b","eham_003_primary_a,eham_003_primary_b,eham_003_pollutant_root,eham_003_repost_00,eham_003_repost_02,eham_003_repost_03,eham_003_repost_01,eham_003_context_07",claim_first_citation_v1_1
eham_003,L0,L0_clean_web,openai/gpt-4o-mini,hygienic_combo_top8,hygienic_combo,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.00029805,"eham_003_primary_a,eham_003_primary_b","eham_003_pollutant_root,eham_003_repost_03,eham_003_repost_02,eham_003_context_13,eham_003_context_12,eham_003_context_11",supported,supported,1.0,1.0,1.0,1.0,0.0,0.0,1,"eham_003_primary_a,eham_003_primary_b","eham_003_primary_a,eham_003_primary_b,eham_003_pollutant_root,eham_003_repost_03,eham_003_repost_02,eham_003_context_13,eham_003_context_12,eham_003_context_11",claim_first_citation_v1_1
eham_004,L0,L0_clean_web,openai/gpt-4o-mini,primary_preserve_top8,primary_preserve,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0002952,"eham_004_primary_a,eham_004_primary_b","eham_004_pollutant_root,eham_004_repost_01,eham_004_repost_02,eham_004_repost_00,eham_004_context_06,eham_004_context_07",supported,supported,1.0,1.0,1.0,1.0,0.0,0.0,1,"eham_004_primary_a,eham_004_primary_b","eham_004_primary_a,eham_004_primary_b,eham_004_pollutant_root,eham_004_repost_01,eham_004_repost_02,eham_004_repost_00,eham_004_context_06,eham_004_context_07",claim_first_citation_v1_1
eham_004,L0,L0_clean_web,openai/gpt-4o-mini,hygienic_combo_top8,hygienic_combo,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.00026445,"eham_004_primary_a,eham_004_primary_b",,supported,supported,1.0,1.0,1.0,1.0,0.0,0.0,1,"eham_004_primary_a,eham_004_primary_b","eham_004_primary_a,eham_004_primary_b,eham_004_pollutant_root,eham_004_repost_02,eham_004_repost_01,eham_004_context_13,eham_004_context_12,eham_004_context_11",claim_first_citation_v1_1
