task_id,base_task_id,view,condition,family,model,schema_variant,prompt_condition,parse_success,empty_output,schema_missing,belief_correctness,insufficient_verdict,primary_selected,primary_in_support,polluted_in_support,polluted_rejected,polluted_diagnostic,dual_role_pollutant,action_search_primary,action_trace_source,role_escape,operational_escape_proxy,support_doc_ids,rejected_doc_ids,diagnostic_doc_ids,selected_doc_ids,predicted_verdict,gold_verdict,cost_usd,clean_support_recovered,pollutant_rejection,operational_contract_success
uncued_048_visible,uncued_048,neutral_metadata_visible,generated_lore,packet_judgment,gemini-3.1-pro-preview,current_phase1,standard_answer,1,0,0,1,1,0,0,0,1,not_applicable,0,1,0,1,1,,"uncued_048_d04,uncued_048_d01",,"uncued_048_d01,uncued_048_d02,uncued_048_d03",insufficient,insufficient,0.00255025,0,1,1
uncued_048_visible,uncued_048,neutral_metadata_visible,generated_lore,packet_judgment,gpt-5.5,current_phase1,standard_answer,1,0,0,1,1,0,0,0,1,not_applicable,0,1,1,1,1,"uncued_048_d02,uncued_048_d03","uncued_048_d04,uncued_048_d01",,"uncued_048_d01,uncued_048_d04,uncued_048_d03",insufficient,insufficient,0.02766,0,1,1
uncued_048_visible,uncued_048,neutral_metadata_visible,generated_lore,packet_judgment,gemini-3.1-pro-preview,role_decomposed_v1,standard_answer,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,,"uncued_048_d04,uncued_048_d01","uncued_048_d02,uncued_048_d03","uncued_048_d01,uncued_048_d02,uncued_048_d03",insufficient,insufficient,0.00216925,0,1,1
uncued_048_visible,uncued_048,neutral_metadata_visible,generated_lore,packet_judgment,gpt-5.5,role_decomposed_v1,standard_answer,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,,"uncued_048_d01,uncued_048_d04","uncued_048_d02,uncued_048_d03","uncued_048_d01,uncued_048_d04,uncued_048_d02",insufficient,insufficient,0.02637,0,1,1
uncued_049_visible,uncued_049,neutral_metadata_visible,generated_lore,packet_judgment,gemini-3.1-pro-preview,current_phase1,standard_answer,1,0,0,1,1,0,0,0,1,not_applicable,0,1,0,1,1,,"uncued_049_d04,uncued_049_d01",,"uncued_049_d04,uncued_049_d02,uncued_049_d01",insufficient,insufficient,0.003516,0,1,1
uncued_049_visible,uncued_049,neutral_metadata_visible,generated_lore,packet_judgment,gpt-5.5,current_phase1,standard_answer,1,0,0,1,1,0,0,0,1,not_applicable,0,1,1,1,1,"uncued_049_d02,uncued_049_d03","uncued_049_d04,uncued_049_d01",,"uncued_049_d04,uncued_049_d01,uncued_049_d02",insufficient,insufficient,0.028844999999999996,0,1,1
uncued_049_visible,uncued_049,neutral_metadata_visible,generated_lore,packet_judgment,gemini-3.1-pro-preview,role_decomposed_v1,standard_answer,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,,"uncued_049_d01,uncued_049_d04","uncued_049_d03,uncued_049_d02","uncued_049_d01,uncued_049_d04,uncued_049_d02",insufficient,insufficient,0.0027679999999999996,0,1,1
uncued_049_visible,uncued_049,neutral_metadata_visible,generated_lore,packet_judgment,gpt-5.5,role_decomposed_v1,standard_answer,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,,"uncued_049_d04,uncued_049_d01","uncued_049_d03,uncued_049_d02","uncued_049_d04,uncued_049_d01,uncued_049_d02",insufficient,insufficient,0.031575,0,1,1
uncued_050_visible,uncued_050,neutral_metadata_visible,generated_lore,packet_judgment,gemini-3.1-pro-preview,current_phase1,standard_answer,1,0,0,1,1,0,0,0,1,not_applicable,0,1,1,1,1,,"uncued_050_d02,uncued_050_d04",,"uncued_050_d03,uncued_050_d01,uncued_050_d04",insufficient,insufficient,0.00205925,0,1,1
uncued_050_visible,uncued_050,neutral_metadata_visible,generated_lore,packet_judgment,gpt-5.5,current_phase1,standard_answer,1,0,0,1,1,0,0,0,1,not_applicable,0,1,1,1,1,"uncued_050_d01,uncued_050_d03","uncued_050_d02,uncued_050_d04",,"uncued_050_d04,uncued_050_d02,uncued_050_d01",insufficient,insufficient,0.032055,0,1,1
