prompt_file,model,task_id,prompt_condition,doc_id,source_type,title,flags
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_primary_a,audit_report,Novalis Robotics primary record for 2025-Q1,"doc_id,title,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_primary_b,regulator_filing,Independent primary corroboration for 2025-Q1,"doc_id,visible_citations,title,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_pollutant_root,old_planning_note,Authoritative-looking summary claiming still pending in January 2025,doc_id
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_repost_00,executive_memo,Secondary coverage 1: still pending in January 2025,"doc_id,visible_citations,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_repost_01,industry_digest,Secondary coverage 2: still pending in January 2025,"doc_id,visible_citations,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_repost_02,supplier_whitepaper,Secondary coverage 3: still pending in January 2025,"doc_id,visible_citations,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_repost_03,wiki_style_summary,Secondary coverage 4: still pending in January 2025,"doc_id,visible_citations,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_repost_04,press_release,Secondary coverage 5: still pending in January 2025,"doc_id,visible_citations,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_context_08,customer_note,Context note 9,"doc_id,title,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_context_09,release_note,Context note 10,"doc_id,title,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_context_10,quality_digest,Context note 11,"doc_id,title,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_context_11,meeting_minutes,Context note 12,"doc_id,title,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_context_12,release_note,Context note 13,"doc_id,title,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_006_context_13,customer_note,Context note 14,"doc_id,title,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_007_context_06,release_note,Context note 7,"doc_id,title,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_007_context_07,release_note,Context note 8,"doc_id,title,body"
eha-mvp/results/reports-eha-frontier-main/artifacts/claude-opus-4-7/operational/epistemic_hygiene_instruction/ert_046.prompt.json,claude-opus-4-7,ert_046,epistemic_hygiene_instruction,eham_007_context_08,meeting_minutes,Context note 9,"doc_id,title,body"
